prdt_type,brand,milestone,cust_segment,target_group,campaign_month,selected_qty,mailed_count,response_count,response_sales_amt
Prdt-1,B,12 Months,CLClubInvite12,Targeted,7,809,809,98,23323.47
Prdt-1,B,12 Months,CLClubInvite12Control,Control,7,90,90,3,686.98
Prdt-1,B,12 Months,CLRecall12,Targeted,7,1769,1769,142,30641.22
Prdt-1,B,12 Months,CLRecall12Control,Control,7,196,196,16,3261.56
Prdt-1,B,12 Months,CLRecallTXandCA12,Targeted,7,205,205,16,2848.48
Prdt-1,B,12 Months,CLRecallTXandCA12Control,Control,7,23,23,0,0.0
Prdt-1,B,12 Months,ClubReminder12,Targeted,7,797,797,108,16939.94
Prdt-1,B,12 Months,ClubReminder12Control,Control,7,88,88,12,1046.95
Prdt-1,B,15 Months,CLClubInvite15,Targeted,7,548,548,36,7429.22
Prdt-1,B,15 Months,CLClubInvite15Control,Control,7,61,61,4,1114.86
Prdt-1,B,15 Months,CLRecall15,Targeted,7,1348,1348,63,13385.34
Prdt-1,B,15 Months,CLRecall15Control,Control,7,150,150,8,1959.94
Prdt-1,B,15 Months,CLRecallTXandCA15,Targeted,7,127,127,7,1425.66
Prdt-1,B,15 Months,CLRecallTXandCA15Control,Control,7,14,14,0,0.0
Prdt-1,B,15 Months,ClubReminder15,Targeted,7,535,535,55,6953.19
Prdt-1,B,15 Months,ClubReminder15Control,Control,7,59,59,7,559.75
Prdt-1,B,18 Months,CLClubInvite18,Targeted,7,550,550,21,5631.58
Prdt-1,B,18 Months,CLClubInvite18Control,Control,7,61,61,3,583.62
Prdt-1,B,18 Months,CLRecall18,Targeted,7,1248,1248,33,6850.25
Prdt-1,B,18 Months,CLRecall18Control,Control,7,139,139,1,159.98
Prdt-1,B,18 Months,CLRecallTXandCA18,Targeted,7,128,128,5,1427.6
Prdt-1,B,18 Months,CLRecallTXandCA18Control,Control,7,14,14,1,141.98
Prdt-1,B,18 Months,ClubReminder18,Targeted,7,482,482,38,3242.91
Prdt-1,B,18 Months,ClubReminder18Control,Control,7,54,54,0,0.0
Prdt-1,B,21 Months,CLClubInvite21,Targeted,7,300,300,12,3423.88
Prdt-1,B,21 Months,CLClubInvite21Control,Control,7,34,34,1,318.92
Prdt-1,B,21 Months,CLRecall21,Targeted,7,716,716,24,5351.75
Prdt-1,B,21 Months,CLRecall21Control,Control,7,80,80,1,190.0
Prdt-1,B,21 Months,CLRecallTXandCA21,Targeted,7,68,68,1,155.56
Prdt-1,B,21 Months,CLRecallTXandCA21Control,Control,7,7,7,0,0.0
Prdt-1,B,21 Months,ClubReminder21,Targeted,7,205,205,21,2396.77
Prdt-1,B,21 Months,ClubReminder21Control,Control,7,23,23,2,59.09
Prdt-1,B,24 Months,CLClubInvite24,Targeted,7,464,464,13,2406.99
Prdt-1,B,24 Months,CLClubInvite24Control,Control,7,52,52,3,587.53
Prdt-1,B,24 Months,CLRecall24,Targeted,7,1021,1021,21,4528.5
Prdt-1,B,24 Months,CLRecall24Control,Control,7,113,113,2,229.96
Prdt-1,B,24 Months,CLRecallTXandCA24,Targeted,7,96,96,3,648.78
Prdt-1,B,24 Months,CLRecallTXandCA24Control,Control,7,11,11,0,0.0
Prdt-1,B,24 Months,ClubReminder24,Targeted,7,278,278,21,4324.74
Prdt-1,B,24 Months,ClubReminder24Control,Control,7,31,31,1,383.92
Prdt-1,B,24 Months,ClubReminder27,Targeted,7,239,239,16,1841.71
Prdt-1,B,24 Months,ClubReminder27Control,Control,7,26,26,2,789.56
Prdt-1,B,12 Months,NVIPC634-Recall-CG,Control,11,376,95,6,1659.02
Prdt-1,B,12 Months,NVIPC634-Recall-TG,Targeted,11,6794,900,145,39228.71
Prdt-1,B,12 Months,NVIPC635-Recall-CG,Control,11,1804,228,26,6756.95
Prdt-1,B,12 Months,NVIPC635-Recall-TG,Targeted,11,16278,2182,264,59768.56
Prdt-1,B,12 Months,NVIPC636-Recall-CG,Control,11,101,35,2,271.98
Prdt-1,B,12 Months,NVIPC636-Recall-TG,Targeted,11,1858,237,18,5885.83
Prdt-1,B,12 Months,NVIPC637-ClubRecal,Control,11,321,68,12,1257.72
Prdt-1,B,12 Months,NVIPC637-ClubRecal,Targeted,11,5804,564,103,12924.91
Prdt-1,B,15 Months,NVIPC634-Recall-CG,Control,11,376,69,5,1438.15
Prdt-1,B,15 Months,NVIPC634-Recall-TG,Targeted,11,3397,615,49,11097.26
Prdt-1,B,15 Months,NVIPC635-Recall-CG,Control,11,902,172,7,1664.33
Prdt-1,B,15 Months,NVIPC635-Recall-TG,Targeted,11,8139,1580,69,15149.06
Prdt-1,B,15 Months,NVIPC636-Recall-CG,Control,11,101,10,1,298.21
Prdt-1,B,15 Months,NVIPC636-Recall-TG,Targeted,11,929,195,6,1317.92
Prdt-1,B,15 Months,NVIPC637-ClubRecal,Control,11,321,54,9,1044.82
Prdt-1,B,15 Months,NVIPC637-ClubRecal,Targeted,11,2902,549,53,5694.72
Prdt-1,B,18 Months,NVIPC634-Recall-CG,Control,11,376,81,2,504.99
Prdt-1,B,18 Months,NVIPC634-Recall-TG,Targeted,11,3397,639,43,9502.09
Prdt-1,B,18 Months,NVIPC635-Recall-CG,Control,11,902,172,7,1988.96
Prdt-1,B,18 Months,NVIPC635-Recall-TG,Targeted,11,8139,1456,82,17569.51
Prdt-1,B,18 Months,NVIPC636-Recall-CG,Control,11,101,27,0,0.0
Prdt-1,B,18 Months,NVIPC636-Recall-TG,Targeted,11,929,162,5,909.72
Prdt-1,B,18 Months,NVIPC637-ClubRecal,Control,11,321,64,6,1414.64
Prdt-1,B,18 Months,NVIPC637-ClubRecal,Targeted,11,2902,573,64,8255.86
Prdt-1,B,21 Months,NVIPC634-Recall-CG,Control,11,376,81,4,698.94
Prdt-1,B,21 Months,NVIPC634-Recall-TG,Targeted,11,3397,708,40,11286.11
Prdt-1,B,21 Months,NVIPC635-Recall-CG,Control,11,902,195,2,287.98
Prdt-1,B,21 Months,NVIPC635-Recall-TG,Targeted,11,8139,1632,79,16755.1
Prdt-1,B,21 Months,NVIPC636-Recall-CG,Control,11,101,16,1,229.95
Prdt-1,B,21 Months,NVIPC636-Recall-TG,Targeted,11,929,210,4,850.47
Prdt-1,B,21 Months,NVIPC637-ClubRecal,Control,11,321,65,5,807.71
Prdt-1,B,21 Months,NVIPC637-ClubRecal,Targeted,11,2902,589,39,2884.56
Prdt-1,B,24 Months,NVIPC634-Recall-CG,Control,11,376,50,1,244.99
Prdt-1,B,24 Months,NVIPC634-Recall-TG,Targeted,11,3397,522,16,4706.42
Prdt-1,B,24 Months,NVIPC635-Recall-CG,Control,11,902,135,5,1940.13
Prdt-1,B,24 Months,NVIPC635-Recall-TG,Targeted,11,8139,1276,52,13428.05
Prdt-1,B,24 Months,NVIPC636-Recall-CG,Control,11,101,13,1,40.0
Prdt-1,B,24 Months,NVIPC636-Recall-TG,Targeted,11,929,112,1,489.92
Prdt-1,B,24 Months,NVIPC637-ClubRecal,Control,11,642,70,3,251.74
Prdt-1,B,24 Months,NVIPC637-ClubRecal,Targeted,11,5804,614,45,5826.99
Prdt-1,B,12 Months,NVIPC634-Recall-CG,Control,0,714,110,18,5337.16
Prdt-1,B,12 Months,NVIPC634-Recall-TG,Targeted,0,6470,914,115,30921.26
Prdt-1,B,12 Months,NVIPC635-Recall-CG,Control,0,872,108,8,1178.68
Prdt-1,B,12 Months,NVIPC635-Recall-TG,Targeted,0,7888,1054,118,21043.46
Prdt-1,B,12 Months,NVIPC636-Recall-CG,Control,0,113,32,3,586.94
Prdt-1,B,12 Months,NVIPC636-Recall-TG,Targeted,0,2076,288,26,6325.85
Prdt-1,B,12 Months,NVIPC637-ClubRecal,Control,0,644,91,18,1865.33
Prdt-1,B,12 Months,NVIPC637-ClubRecal,Targeted,0,5824,644,108,14920.51
Prdt-1,B,15 Months,NVIPC634-Recall-CG,Control,0,357,67,4,714.45
Prdt-1,B,15 Months,NVIPC634-Recall-TG,Targeted,0,3235,622,38,9954.3
Prdt-1,B,15 Months,NVIPC635-Recall-CG,Control,0,436,86,4,796.89
Prdt-1,B,15 Months,NVIPC635-Recall-TG,Targeted,0,3944,758,46,9170.32
Prdt-1,B,15 Months,NVIPC636-Recall-CG,Control,0,113,17,2,821.45
Prdt-1,B,15 Months,NVIPC636-Recall-TG,Targeted,0,1038,229,13,1608.0
Prdt-1,B,15 Months,NVIPC637-ClubRecal,Control,0,322,59,8,1331.22
Prdt-1,B,15 Months,NVIPC637-ClubRecal,Targeted,0,2912,591,75,12180.86
Prdt-1,B,18 Months,NVIPC634-Recall-CG,Control,0,357,64,1,416.36
Prdt-1,B,18 Months,NVIPC634-Recall-TG,Targeted,0,3235,637,33,8224.85
Prdt-1,B,18 Months,NVIPC635-Recall-CG,Control,0,436,94,4,1456.51
Prdt-1,B,18 Months,NVIPC635-Recall-TG,Targeted,0,3944,830,44,7608.59
Prdt-1,B,18 Months,NVIPC636-Recall-CG,Control,0,113,24,0,0.0
Prdt-1,B,18 Months,NVIPC636-Recall-TG,Targeted,0,1038,185,3,680.91
Prdt-1,B,18 Months,NVIPC637-ClubRecal,Control,0,322,55,9,1711.44
Prdt-1,B,18 Months,NVIPC637-ClubRecal,Targeted,0,2912,542,64,9260.43
Prdt-1,B,21 Months,NVIPC634-Recall-CG,Control,0,357,48,0,0.0
Prdt-1,B,21 Months,NVIPC634-Recall-TG,Targeted,0,3235,527,20,5384.51
Prdt-1,B,21 Months,NVIPC635-Recall-CG,Control,0,436,81,4,463.0
Prdt-1,B,21 Months,NVIPC635-Recall-TG,Targeted,0,3944,645,16,3944.61
Prdt-1,B,21 Months,NVIPC636-Recall-CG,Control,0,113,23,0,0.0
Prdt-1,B,21 Months,NVIPC636-Recall-TG,Targeted,0,1038,172,7,1285.41
Prdt-1,B,21 Months,NVIPC637-ClubRecal,Control,0,322,48,3,860.69
Prdt-1,B,21 Months,NVIPC637-ClubRecal,Targeted,0,2912,455,40,4310.09
Prdt-1,B,24 Months,NVIPC634-Recall-CG,Control,0,357,68,2,307.99
Prdt-1,B,24 Months,NVIPC634-Recall-TG,Targeted,0,3235,522,20,5460.31
Prdt-1,B,24 Months,NVIPC635-Recall-CG,Control,0,436,67,2,365.55
Prdt-1,B,24 Months,NVIPC635-Recall-TG,Targeted,0,3944,644,22,4860.89
Prdt-1,B,24 Months,NVIPC636-Recall-CG,Control,0,113,17,1,224.95
Prdt-1,B,24 Months,NVIPC636-Recall-TG,Targeted,0,1038,151,5,1241.81
Prdt-1,B,24 Months,NVIPC637-ClubRecal,Control,0,644,69,4,312.78
Prdt-1,B,24 Months,NVIPC637-ClubRecal,Targeted,0,5824,667,50,7785.0
Prdt-1,B,12 Months,CLClubInvite12,Targeted,6,609,609,66,18736.12
Prdt-1,B,12 Months,CLClubInvite12Control,Control,6,68,68,9,1847.63
Prdt-1,B,12 Months,CLRecall12,Targeted,6,1501,1501,131,27907.11
Prdt-1,B,12 Months,CLRecall12Control,Control,6,167,167,18,3229.33
Prdt-1,B,12 Months,CLRecallTXandCA12,Targeted,6,160,160,13,2191.24
Prdt-1,B,12 Months,CLRecallTXandCA12Control,Control,6,18,18,2,370.26
Prdt-1,B,12 Months,ClubReminder12,Targeted,6,666,666,119,13688.47
Prdt-1,B,12 Months,ClubReminder12Control,Control,6,74,74,14,1666.91
Prdt-1,B,15 Months,CLClubInvite15,Targeted,6,517,517,42,9337.19
Prdt-1,B,15 Months,CLClubInvite15Control,Control,6,58,58,8,1715.87
Prdt-1,B,15 Months,CLRecall15,Targeted,6,1235,1235,77,16621.85
Prdt-1,B,15 Months,CLRecall15Control,Control,6,137,137,7,1331.28
Prdt-1,B,15 Months,CLRecallTXandCA15,Targeted,6,126,126,9,2968.78
Prdt-1,B,15 Months,CLRecallTXandCA15Control,Control,6,14,14,0,0.0
Prdt-1,B,15 Months,ClubReminder15,Targeted,6,505,505,55,6858.49
Prdt-1,B,15 Months,ClubReminder15Control,Control,6,56,56,5,540.35
Prdt-1,B,18 Months,CLClubInvite18,Targeted,6,329,329,21,5668.37
Prdt-1,B,18 Months,CLClubInvite18Control,Control,6,37,37,0,0.0
Prdt-1,B,18 Months,CLRecall18,Targeted,6,745,745,24,5317.64
Prdt-1,B,18 Months,CLRecall18Control,Control,6,83,83,6,1290.72
Prdt-1,B,18 Months,CLRecallTXandCA18,Targeted,6,72,72,6,1171.91
Prdt-1,B,18 Months,CLRecallTXandCA18Control,Control,6,8,8,0,0.0
Prdt-1,B,18 Months,ClubReminder18,Targeted,6,298,298,27,3178.72
Prdt-1,B,18 Months,ClubReminder18Control,Control,6,33,33,2,385.9
Prdt-1,B,21 Months,CLClubInvite21,Targeted,6,397,397,19,3833.3
Prdt-1,B,21 Months,CLClubInvite21Control,Control,6,44,44,4,657.64
Prdt-1,B,21 Months,CLRecall21,Targeted,6,1040,1040,31,6731.2
Prdt-1,B,21 Months,CLRecall21Control,Control,6,116,116,5,875.37
Prdt-1,B,21 Months,CLRecallTXandCA21,Targeted,6,104,104,3,749.41
Prdt-1,B,21 Months,CLRecallTXandCA21Control,Control,6,11,11,0,0.0
Prdt-1,B,21 Months,ClubReminder21,Targeted,6,304,304,27,2362.99
Prdt-1,B,21 Months,ClubReminder21Control,Control,6,34,34,1,138.58
Prdt-1,B,24 Months,CLClubInvite24,Targeted,6,421,421,17,4715.67
Prdt-1,B,24 Months,CLClubInvite24Control,Control,6,47,47,3,620.16
Prdt-1,B,24 Months,CLRecall24,Targeted,6,1066,1066,18,4772.64
Prdt-1,B,24 Months,CLRecall24Control,Control,6,118,118,3,545.53
Prdt-1,B,24 Months,CLRecallTXandCA24,Targeted,6,119,119,6,1469.47
Prdt-1,B,24 Months,CLRecallTXandCA24Control,Control,6,13,13,1,229.95
Prdt-1,B,24 Months,ClubReminder24,Targeted,6,266,266,24,2917.93
Prdt-1,B,24 Months,ClubReminder24Control,Control,6,29,29,0,0.0
Prdt-1,B,24 Months,ClubReminder27,Targeted,6,146,146,15,1935.57
Prdt-1,B,24 Months,ClubReminder27Control,Control,6,16,16,0,0.0
Prdt-1,B,12 Months,CLClubInvite12,Targeted,5,668,668,72,16029.83
Prdt-1,B,12 Months,CLClubInvite12Control,Control,5,75,75,11,1969.59
Prdt-1,B,12 Months,CLRecall12,Targeted,5,1332,1332,114,25596.59
Prdt-1,B,12 Months,CLRecall12Control,Control,5,148,148,13,2297.28
Prdt-1,B,12 Months,CLRecallTXandCA12,Targeted,5,129,129,14,2900.8
Prdt-1,B,12 Months,CLRecallTXandCA12Control,Control,5,14,14,1,330.53
Prdt-1,B,12 Months,ClubReminder12,Targeted,5,680,680,97,14163.16
Prdt-1,B,12 Months,ClubReminder12Control,Control,5,75,75,9,693.16
Prdt-1,B,15 Months,CLClubInvite15,Targeted,5,593,593,35,7980.92
Prdt-1,B,15 Months,CLClubInvite15Control,Control,5,66,66,1,340.51
Prdt-1,B,15 Months,CLRecall15,Targeted,5,1265,1265,82,17027.35
Prdt-1,B,15 Months,CLRecall15Control,Control,5,140,140,11,3007.25
Prdt-1,B,15 Months,CLRecallTXandCA15,Targeted,5,157,157,9,2075.83
Prdt-1,B,15 Months,CLRecallTXandCA15Control,Control,5,17,17,1,355.07
